,REF,Company (Manufacturer),Company Location,Review Date,Country of Bean Origin,Specific Bean Origin or Bar Name,Cocoa Percent,Ingredients,Most Memorable Characteristics,Rating,Company Location PT
112,170,Amedei,Italy,2007,Blend,Toscano Black,"0,63","4- B,S,C,V","fatty, dairy, caramel, cocoa","3,5",Itália
113,123,Amedei,Italy,2007,Ecuador,Ecuador,"0,7","4- B,S,C,V","creamy, earthy, vegetal","3,0",Itália
114,123,Amedei,Italy,2007,Jamaica,Jamaica,"0,7","4- B,S,C,V","sandy, woody, spicy","3,0",Itália
115,979,Amedei,Italy,2012,Peru,"Piura, Blanco de Criollo","0,7","4- B,S,C,V","creamy, raspberry, nutty","3,75",Itália
116,2092,Amedei,Italy,2018,Blend,Nine,"0,75","4- B,S,C,V","sweet, delicate, complex","3,5",Itália
117,2088,Amedei,Italy,2018,Madagascar,Madagascar,"0,7","4- B,S,C,V","vanilla, mint, roasty","3,0",Itália
118,2088,Amedei,Italy,2018,Venezuela,Chuao,"0,7","4- B,S,C,V","vanilla, nuts, roasty","3,0",Itália
119,2092,Amedei,Italy,2018,Venezuela,Porcelana,"0,7","4- B,S,C,V","nutty, mild roasty, vanilla","3,0",Itália
120,2434,Amedei,Italy,2019,Blend,Toscano Black,"0,7","3- B,S,C","nut, fatty, rubbery, rich","2,75",Itália
121,572,AMMA,Brazil,2010,Brazil,"Monte Alegre, 3 diff. plantations","0,6","4- B,S,C,L","creamy, sweet,cocoa,banana","4,0",Brasil
122,572,AMMA,Brazil,2010,Brazil,"Monte Alegre, 3 diff. plantations","0,5","4- B,S,C,L","very sweet, bright red, banana","3,75",Brasil
123,572,AMMA,Brazil,2010,Brazil,"Monte Alegre, 3 diff. plantations","0,75","4- B,S,C,L","roasty, fatty, nutty, coffee","3,75",Brasil
124,572,AMMA,Brazil,2010,Brazil,"Monte Alegre, 3 diff. plantations","0,85","4- B,S,C,L","creamy, red berry, bitter","2,75",Brasil
125,1065,AMMA,Brazil,2013,Brazil,Catongo,"0,75","4- B,S,C,L","grainy, sweet, poor aftertaste","3,25",Brasil
126,1259,Anahata,USA,2014,Dominican Republic,Elvesia,"0,75","2- B,S","chalky, mild fruit, burnt","3,0",EUA
127,1852,Animas,USA,2016,Bolivia,Alto Beni,"0,75","2- B,S","light roast, caramel, cocoa","3,5",EUA
128,2586,Animas,USA,2021,Guatemala,"Alta Verapaz, Cahabon & Lanquin regions, b. 4243","0,75","2- B,S","orange citrus, harsh earthiness","3,25",EUA
129,2586,Animas,USA,2021,Belize,"Maya Mountain, batch 39","0,75","2- B,S","burnt toast, cherry","3,0",EUA
130,1375,Ara,France,2014,Madagascar,Madagascar,"0,75","3- B,S,C","sandy, fruity, short","3,0",França
131,1379,Ara,France,2014,Venezuela,Trincheras,"0,75","3- B,S,C","nutty, mild spice, mild earthy","3,0",França
132,1379,Ara,France,2014,Ecuador,Equateur,"0,75","3- B,S,C","bitter, floral, leather","2,75",França
133,1379,Ara,France,2014,Mexico,Chiapas,"0,72","3- B,S,C","earthy, sour milk, leather","2,5",França
134,1598,Arete,USA,2015,Nicaragua,Chuno,"0,7","2- B,S","creamy,sticky, peanut butter","4,0",EUA
135,1534,Arete,USA,2015,Ecuador,"Puerto Quito, heirloom","0,7","2- B,S","spicy, cocoa","3,75",EUA
136,1598,Arete,USA,2015,Belize,Maya Mountain,"0,7","2- B,S","floral, strawberry, metallic","3,75",EUA
137,1534,Arete,USA,2015,Brazil,Fazenda Camboa,"0,7","2- B,S","creamy, rich, rum, roasty","3,5",EUA
138,1534,Arete,USA,2015,Peru,Nacional,"0,68","2- B,S","floral, nutty, rich cocoa","3,5",EUA
139,1598,Arete,USA,2015,Dominican Republic,Oko Caribe,"0,7","2- B,S","spicy, brownie, nutty","3,5",EUA
140,1602,Arete,USA,2015,Ecuador,Camino Verde,"0,75","3- B,S,C","intense, floral, bourbon","3,5",EUA
141,1602,Arete,USA,2015,Guatemala,Guatemala,"0,7","2- B,S","strawberry, butterscotch, off","3,25",EUA
142,1602,Arete,USA,2015,Brazil,Fazenda Camboa,"0,75","2- B,S","floral, chemical off","2,75",EUA
143,1908,Arete,USA,2016,Costa Rica,"Coto Brus, Terciopelo","0,7","2- B,S","balanced, cherry, choco","4,0",EUA
144,1924,Arete,USA,2016,Peru,Phantom,"0,7","2- B,S","creamy, complex, balanced","4,0",EUA
